Description,Price Was,Price,Percent Off,Rating,Review Count,URL
"ORNARTO Compatible with iPhone 14 Case 6.1, Slim Liquid Silicone 3 Layers Full Covered Soft Gel Rubber Case Protective Cover 6.1 inch-Pastel Lilac",,$16.99,0%,4.6 out of 5 stars,4.6,https://www.amazon.ca/ORNARTO-Compatible-iPhone-14-inch-Pastel/dp/B0B972533X/ref=sr_1_62?keywords=iPhone+14&qid=1677007654&sr=8-62
"ESR Classic Hybrid Magnetic Case with HaloLock, Compatible with iPhone 14 Pro Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Scratch-Resistant Back, Frosted Black",,$21.99,0%,4.7 out of 5 stars,4.7,https://www.amazon.ca/ESR-iPhone-Pro-Military-Grade-Scratch-Resistant/dp/B0BGKCSWXS/ref=sr_1_63?keywords=iPhone+14&qid=1677007654&sr=8-63
CASEKOO Magnetic Clear iPhone 14 Case & iPhone 13 Case [No.1 Strong Magnets][Never Yellow][Military Grade Drop Protection] Compatible with MagSafe Protective Slim Thin Cover 6.1 inch 2022-Clear,$24.99,$21.24,-15.01%,4.5 out of 5 stars,4.5,https://www.amazon.ca/CASEKOO-Resistant-Compatible-Protective-2021-Clear/dp/B09KRZQGLQ/ref=sr_1_64?keywords=iPhone+14&qid=1677007654&sr=8-64
"ORNARTO Compatible with iPhone 14 Case, with 2 x Screen Protector Liquid Silicone Gel Rubber Cover [Full Body] Shockproof Protective Phone Case for iPhone 14-Pastel Lilac",,$18.99,0%,4.7 out of 5 stars,4.7,https://www.amazon.ca/ORNARTO-Compatible-iPhone-14-Shockproof/dp/B0B972GLGB/ref=sr_1_65?keywords=iPhone+14&qid=1677007654&sr=8-65
"[3 Pack] EGV 3 Pack Screen Protector for iPhone 14 Pro 6.1 inch, Tempered Glass HD Screen, Scratch Resistant, Case Friendly, Film Easy Installation Tray, Sensitive Touch, Bubble Free",$9.99,$8.49,-15.02%,4.6 out of 5 stars,4.6,https://www.amazon.ca/EGV-Protector-Resistant-Installation-Sensitive/dp/B0B5LBDX5V/ref=sr_1_66?keywords=iPhone+14&qid=1677007654&sr=8-66
"JETech Magnetic Case for iPhone 14 Plus 6.7-Inch Compatible with MagSafe Wireless Charging, Shockproof Phone Bumper Cover, Anti-Scratch Clear Back (Clear)",,$14.99,0%,4.7 out of 5 stars,4.7,https://www.amazon.ca/JETech-Magnetic-Compatible-Shockproof-Anti-Scratch/dp/B0B8X6V7QJ/ref=sr_1_67?keywords=iPhone+14&qid=1677007654&sr=8-67
"ESR Armorite Screen Protector Compatible with iPhone 14 Pro Max, Ultra-Tough Tempered-Glass, Easy Alignment Frame, 2 Pack",$27.99,$18.39,-34.3%,4.8 out of 5 stars,4.8,https://www.amazon.ca/ESR-iPhone-Pro-Max-Tempered-Glass/dp/B0B7D5QD1Z/ref=sr_1_68?keywords=iPhone+14&qid=1677007654&sr=8-68
"Metal Case for iPhone 14 with Camera Cover, Military Bumper Silicone Metal Case Shockproof Dustproof Heavy Duty Protection Case with Built-in Screen Protector and Stand for iPhone 14 (Black)",,$36.99,0%,3.8 out of 5 stars,3.8,https://www.amazon.ca/iPhone-14-Shockproof-Dustproof-Protection/dp/B0BBYZKYFV/ref=sr_1_69?keywords=iPhone+14&qid=1677007654&sr=8-69
GUAGUA Case for iPhone 14 Pro 6.1 Inch Brown Liquid Silicone Soft Gel Rubber Slim Thin Microfiber Lining Cushion Texture Cover Shockproof Protective Phone Case for iPhone 14 Pro 2022 Chocolate,$12.99,$11.99,-7.7%,4.6 out of 5 stars,4.6,https://www.amazon.ca/Silicone-Microfiber-Shockproof-Protective-Chocolate/dp/B0BB5YFGQ8/ref=sr_1_70?keywords=iPhone+14&qid=1677007654&sr=8-70
"luolnh Compatible with iPhone 14 Plus Case with Flowers,for Girly Women,Shockproof Clear Floral Pattern Hard Back Cover for iPhone 14 Plus 6.7 inch 2022 -Blue",,$12.99,0%,4.5 out of 5 stars,4.5,https://www.amazon.ca/luolnh-Compatible-Flowers-Shockproof-Pattern/dp/B0BBWHSTYT/ref=sr_1_71?keywords=iPhone+14&qid=1677007654&sr=8-71
Nvollnoe for iPhone 14 Case with Sliding Camera Cover and Card Holder Heavy Duty Protective iPhone 14 Case with Kickstand Ring Magnetic Phone Case for iPhone 14(Blue),,$17.99,0%,4.4 out of 5 stars,4.4,https://www.amazon.ca/Nvollnoe-Sliding-Protective-Kickstand-Magnetic/dp/B0B7HDGRWT/ref=sr_1_72?keywords=iPhone+14&qid=1677007654&sr=8-72
